Date,Nifty Auto,Nifty FMCG,Nifty IT,Nifty Metal,Nifty Pharma,Nifty Bank,Nifty 50
2024-01-30,18878.349609375,54574.3515625,36381.94921875,7864.0,17470.150390625,45367.75,21522.099609375
2024-01-31,19227.150390625,55071.3984375,36638.3984375,7973.10009765625,17938.650390625,45996.80078125,21725.69921875
2024-02-01,19328.69921875,55215.80078125,36534.55078125,7891.0498046875,17839.19921875,46188.6484375,21697.44921875
2024-02-02,19380.5,55118.3984375,37323.25,8078.25,17972.099609375,45970.94921875,21853.80078125
2024-02-05,19615.30078125,54698.3984375,37162.1484375,8109.5498046875,18292.94921875,45825.55078125,21771.69921875
2024-02-06,19903.849609375,54608.80078125,38246.30078125,8238.25,18488.05078125,45690.80078125,21929.400390625
2024-02-07,19903.80078125,54772.6015625,37767.75,8276.650390625,18564.849609375,45818.5,21930.5
2024-02-08,19649.5,53646.19921875,37851.6015625,8221.849609375,18520.30078125,45012.0,21717.94921875
2024-02-09,19576.0,53867.1015625,37699.25,8095.60009765625,18617.099609375,45634.55078125,21782.5
2024-02-12,19419.599609375,53292.94921875,37998.0,7901.64990234375,18669.55078125,44882.25,21616.05078125
2024-02-13,19433.05078125,53432.05078125,38204.0,7737.85009765625,18753.94921875,45502.3984375,21743.25
2024-02-14,19716.0,53839.05078125,37775.3984375,7874.7998046875,18584.349609375,45908.30078125,21840.05078125
2024-02-15,19981.69921875,53321.3515625,37999.55078125,7910.60009765625,18567.69921875,46218.8984375,21910.75
2024-02-16,20423.44921875,53518.6015625,38477.05078125,7976.4501953125,18870.80078125,46384.8515625,22040.69921875
2024-02-19,,,38363.19921875,,19037.69921875,46535.5,22122.25
2024-02-20,20354.25,53882.5,38029.69921875,7955.7998046875,18993.0,47094.19921875,22196.94921875
2024-02-21,20252.55078125,53892.3515625,37405.8984375,7976.4501953125,18916.44921875,47019.69921875,22055.05078125
2024-02-22,20584.849609375,54419.19921875,38130.1484375,8069.39990234375,18969.44921875,46919.80078125,22217.44921875
2024-02-23,20621.349609375,54337.75,38045.6484375,8047.75,19048.400390625,46811.75,22212.69921875
2024-02-26,20642.400390625,54317.30078125,37598.6484375,7971.75,18956.44921875,46576.5,22122.05078125
2024-02-27,20788.55078125,54306.44921875,37870.25,8000.5498046875,19064.19921875,46588.05078125,22198.349609375
2024-02-28,20372.349609375,53824.8984375,37741.75,7850.35009765625,18942.55078125,45963.1484375,21951.150390625
2024-02-29,20412.400390625,54015.6015625,37720.3984375,7921.89990234375,19003.150390625,46120.8984375,21982.80078125
2024-03-01,20871.94921875,54225.1484375,37516.05078125,8208.5,18822.30078125,47286.8984375,22338.75
2024-03-04,20840.19921875,54221.75,37314.80078125,8318.9501953125,18960.19921875,47456.1015625,22405.599609375
2024-03-05,21121.19921875,53653.1015625,36720.75,8300.5498046875,19018.5,47581.0,22356.30078125
2024-03-06,21181.30078125,53879.6015625,37001.80078125,8257.650390625,19140.0,47965.3984375,22474.05078125
2024-03-07,21126.80078125,54406.30078125,37099.8984375,8371.2998046875,19194.099609375,47835.80078125,22493.55078125
2024-03-11,21001.150390625,54087.44921875,36988.30078125,8250.75,19202.05078125,47327.8515625,22332.650390625
2024-03-12,20931.849609375,53636.1015625,37224.25,8108.39990234375,18958.69921875,47282.3984375,22335.69921875
2024-03-13,20338.25,53664.1484375,36946.44921875,7647.39990234375,18635.69921875,46981.30078125,21997.69921875
2024-03-14,20514.25,54145.80078125,37679.6015625,7799.9501953125,18897.099609375,46789.94921875,22146.650390625
